Value setting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strike Price  K;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Discount rate r;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dividend q ;0,02;;;;;;;;Delta;;;;;;;;;;;;;;;;Theta ;;;;;;;;
;;;125;0,997805355;0,990116707;0,974644591;0,956051971;0,93723214;0,919346626;0,902764156;0,887529551;0,873563774;0,860747459;0,773442096;0,722839953;0,687431443;0,659918975;;125;1,466280132;1,01748163;0,390277606;-0,118425109;-0,482264528;-0,733891713;-0,90596699;-1,022558003;-1,100278145;-1,15047698;-1,11148233;-0,89941243;-0,713398855;-0,562171748
;;;130;0,997986404;0,994454325;0,986355597;0,974561134;0,96099963;0,946956551;0,933119258;0,919818976;0,907195014;0,895286865;0,807961553;0,75403369;0,715552361;0,685466493;;130;1,59297532;1,443235388;1,077326593;0,675638126;0,327610221;0,049547858;-0,165956274;-0,330988921;-0,456694114;-0,55207161;-0,787722286;-0,684675078;-0,552430839;-0,432135188
;;;135;0,998001037;0,995643884;0,991205749;0,98399161;0,974717267;0,964275743;0,953328977;0,942299516;0,931438937;0,920888789;0,836970827;0,781369978;0,740717914;0,708618584;;135;1,695400136;1,650773762;1,470562825;1,2025991;0,922787788;0,668238361;0,45016775;0,268487101;0,11913037;-0,002859798;-0,454860505;-0,456388466;-0,379131643;-0,291523158
;;;140;0,998001951;0,995931206;0,993052712;0,98850547;0,982251384;0,97470302;0,966322551;0,957483525;0,948454502;0,939417863;0,861081563;0,805164154;0,763134597;0,729529688;;140;1,795393454;1,781051487;1,70166262;1,5429063;1,342898511;1,136122883;0,94141665;0,766600826;0,613589437;0,481521511;-0,123133192;-0,220016613;-0,196787039;-0,142508196
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
